foldChange145,fonte,foldChange195b,fonte.2
0.98,Plasma,2.088,Plasma
0.923,Plasma,2.196,Plasma
0.974,Plasma,2.117,Plasma
0.976,Plasma,2.087,Plasma
0.975,Plasma,2.113,Plasma
0.975,Plasma,1.89,Plasma
0.988,Plasma,2.155,Plasma
0.977,Plasma,2.147,Plasma
0.979,Plasma,2.039,Plasma
0.9,Plasma,1.995,Plasma
0.979,Plasma,1.902,Plasma
0.978,Plasma,1.995,Plasma
0.939,Plasma,1.845,Plasma
0.935,Plasma,2.377,Plasma
0.974,Plasma,1.865,Plasma
0.914,Plasma,2.359,Plasma
0.91,Plasma,2.123,Plasma
0.953,Plasma,2.07,Plasma
0.978,Plasma,1.835,Plasma
0.974,Plasma,2.022,Plasma
0.668,Tumor,1.249,Tumor
0.659,Tumor,1.187,Tumor
0.659,Tumor,1.576,Tumor
0.659,Tumor,1.584,Tumor
0.666,Tumor,1.576,Tumor
0.62,Tumor,1.589,Tumor
0.668,Tumor,1.569,Tumor
0.693,Tumor,1.619,Tumor
0.693,Tumor,1.568,Tumor
0.693,Tumor,1.642,Tumor
0.693,Tumor,1.568,Tumor
0.757,Tumor,1.21,Tumor
0.757,Tumor,1.633,Tumor
0.757,Tumor,1.614,Tumor
0.757,Tumor,1.633,Tumor
0.788,Tumor,1.703,Tumor
0.789,Tumor,1.31,Tumor
0.788,Tumor,1.767,Tumor
0.732,Tumor,1.725,Tumor
0.732,Tumor,1.767,Tumor
0.655,Tumor,1.763,Tumor
0.655,Tumor,1.816,Tumor
0.646,Tumor,1.188,Tumor
0.646,Tumor,1.776,Tumor
0.646,Tumor,1.812,Tumor
0.646,Tumor,1.727,Tumor
0.646,Tumor,1.866,Tumor
0.665,Tumor,1.816,Tumor
0.665,Tumor,1.894,Tumor
0.661,Tumor,1.896,Tumor
0.66,Tumor,1.89,Tumor
0.661,Tumor,1.934,Tumor
0.661,Tumor,1.815,Tumor
0.629,Tumor,1.896,Tumor
0.628,Tumor,1.61,Tumor
0.628,Tumor,1.56,Tumor
0.646,Tumor,1.914,Tumor
0.646,Tumor,1.815,Tumor
0.646,Tumor,1.808,Tumor
0.646,Tumor,1.816,Tumor
0.684,Tumor,1.815,Tumor
0.685,Tumor,1.838,Tumor
0.684,Tumor,1.83,Tumor
0.623,Tumor,1.997,Tumor
0.705,Tumor,1.934,Tumor
0.703,Tumor,1.896,Tumor
0.705,Tumor,1.937,Tumor
0.701,Tumor,1.934,Tumor
0.7,Tumor,1.937,Tumor
0.701,Tumor,1.936,Tumor
0.7,Tumor,1.932,Tumor
0.665,Tumor,1.997,Tumor
0.665,Tumor,1.93,Tumor
0.665,Tumor,1.743,Tumor
0.665,Tumor,1.895,Tumor
0.665,Tumor,1.819,Tumor
0.665,Tumor,1.93,Tumor
0.665,Tumor,1.743,Tumor
0.665,Tumor,1.927,Tumor
0.665,Tumor,1.927,Tumor
0.663,Tumor,1.923,Tumor
0.664,Tumor,1.895,Tumor
0.668,Tumor,1.93,Tumor
0.662,Tumor,1.974,Tumor
0.665,Tumor,1.974,Tumor
0.664,Tumor,1.895,Tumor
0.664,Tumor,1.93,Tumor
0.664,Tumor,1.895,Tumor
0.664,Tumor,1.927,Tumor
0.664,Tumor,1.886,Tumor
0.665,Tumor,1.821,Tumor
0.664,Tumor,1.838,Tumor
0.564,Tumor,1.827,Tumor
0.564,Tumor,1.837,Tumor
